מספר,תעדוף,מזהה,אבן דרך,משימה,פירוט הדרישה,באחריות,תאריך התחלה,תאריך סיום,משך בימים,% התקדמות,סטטוס שלב,לינק לתוצר,הערות
1,1,KO,Kick-Off,פגישת היכרות,פגישת היכרות שגיא ושלומי,שגיא,15/02/26,19/02/26,4,100,הסתיים,,הפגישה בוצעה בגוגל meet
2,1,KO,Kick-Off,פגישת עבודה,שיחת אפיון CRM עם נטאלי,שגיא,19/02/26,19/02/26,1,100,הסתיים,,הפגישה בוצעה בגוגל meet והוחלט על MVP 1
3,1,KO,Kick-Off,מצגת יעדים עסקיים ל CRM,מצגת תכנית עבודה ל CRM,שגיא,01/03/26,06/03/26,5,100,הסתיים,https://drive.google.com/file/d/1fys4uxjjtFu7hDEjTgCshrUInb-M8voB/view?usp=drive_link,"המצגת בוצעה ונשלחה לנטאלי במייל ובוואטסאפ לאישור.
לינק למצגת בקנבה"
4,1,Infra,התנעה ותשתית,רכישת דומיין ל CRM,רכישת דומיין ישראלי למערכת ה CRM,שגיא,06/03/26,24/03/26,13,100,הסתיים,http://resiliencecenter.org.il/,"נרכש הדומיין מאתר box.co.il לשלוש שנים בעלות של 267 ש""ח לכל התקופה.

לינק לחשבונית: https://drive.google.com/file/d/1FZVwRWashrlMHyPXIiCxQ6RfHDUYD1FC/view?usp=sharing
"
5,1,Infra,התנעה ותשתית,הקמת שרתים (Cloud),הגדרת Oracle Cloud Free,שלומי,20/02/26,25/02/26,4,100,הסתיים,,"שלומי הגדיר עם החשבון הפרטי שלו יש להעביר לחשבון פקער
*שגיא צריך לפתוח משימת הסבה של המערכות*"
6,1,Infra,התנעה ותשתית,אבטחת מידע (SSL),רכישת תעודת SSL לדומיין,"שגיא, נטאלי",08/03/26,,,10,תלוי,,"ניתן לרכוש בעלות של 360 ש""ח ל3 שנים.

לינק https://www.box.co.il/ssl/.

*יש לקבל אישור תקציב מנטאלי"
7,1,Infra,התנעה ותשתית,אפיון טכני חיצוני,"אפיון דרישה עסקית PRD
1. הגדרת MVP ראשון",שגיא,04/03/26,23/03/26,14,100,הסתיים,https://docs.google.com/document/d/1ivJsAND6H1t3VjHtUN6OezmREQgU_cAkZJhmIOTLMeQ/edit?usp=sharing,
8,1,Infra,התנעה ותשתית,ניהול ידע,"הקמת ניהול ידע של הנכסים שברשת פקע""ר",שגיא,04/03/26,15/04/26,31,90,בעבודה,https://docs.google.com/spreadsheets/d/1VEdfSD-bVTMZkTdxEqxNe7XJ3mcnPR4K1myxHG-NnSA/edit?usp=drive_link,
9,1,E001,"עמוד התחברות
(Login)",הגדרת Google Auth API,חיבור המערכת ל-Google Identity Services לצורך מימוש SSO (כניסה אחידה) ואימות דו-שלבי (2FA),"שלומי, שגיא",20/02/26,20/02/26,1,100,הסתיים,megenim.oref@gmail.com,נפתחה תיבת gmail לפרויקט
10,,E001,"עמוד התחברות
(Login)",פיתוח ממשק Login UI,"עיצוב ובניית עמוד הכניסה (Frontend). הממשק צריך להיות נקי, תומך מובייל וכולל חיווי שגיאות במקרה של כניסה לא מורשית",שלומי,18/02/26,20/02/26,3,100,הסתיים,crm.resiliencecenter.org.il,"כתובת IP        http://158.178.131.247/login
כתובת אתר רשמית: crm.resiliencecenter.org.il
דומיין האתר: resiliencecenter.org.il"
